ID,Name,City,Region,Applied,Admitted,Enrolled
HEMET HIGH SCHOOL51165,HEMET HIGH SCHOOL,Hemet,Riverside,37,12,3
HENRY M GUNN SENIOR HIGH SCHL52347,HENRY M GUNN SENIOR HIGH SCHL,Palo Alto,Santa Clara,264,82,8
HERBERT HOOVER HIGH SCHOOL51060,HERBERT HOOVER HIGH SCHOOL,Glendale,Los Angeles,62,20,7
HERBERT HOOVER HIGH SCHOOL52850,HERBERT HOOVER HIGH SCHOOL,San Diego,San Diego,141,40,26
HERITAGE CHRISTIAN SCHOOL53358,HERITAGE CHRISTIAN SCHOOL,North Hills,Los Angeles,19,11,3
HERITAGE HIGH SCHOOL54141,HERITAGE HIGH SCHOOL,Menifee,Riverside,60,11,3
HESPERIA HIGH SCHOOL51168,HESPERIA HIGH SCHOOL,Hesperia,San Bernardino,30,13,3
HIGH SCH @RENMIN UNIV OF CHINA694270,HIGH SCH @RENMIN UNIV OF CHINA,,,242,85,10
HIGH TECH HIGH CHULA VISTA54313,HIGH TECH HIGH CHULA VISTA,Chula Vista,San Diego,50,25,8
HIGH TECH HIGH INTERNATIONAL53945,HIGH TECH HIGH INTERNATIONAL,San Diego,San Diego,33,13,4
HIGH TECH HIGH MEDIA ARTS54054,HIGH TECH HIGH MEDIA ARTS,San Diego,San Diego,30,16,6
HIGH TECH HIGH SCHOOL52951,HIGH TECH HIGH SCHOOL,San Diego,San Diego,30,13,4
HIGH TECH HIGH-NORTH COUNTY54219,HIGH TECH HIGH-NORTH COUNTY,San Marcos,San Diego,32,12,7
HIGHLAND HIGH SCHOOL52541,HIGHLAND HIGH SCHOOL,Palmdale,Los Angeles,29,8,5
HILLCREST HIGH SCHOOL54677,HILLCREST HIGH SCHOOL,Riverside,Riverside,50,16,5
HILLTOP HIGH SCHOOL50581,HILLTOP HIGH SCHOOL,Chula Vista,San Diego,52,27,15
HOMESTEAD HIGH SCHOOL53462,HOMESTEAD HIGH SCHOOL,Cupertino,Santa Clara,258,88,24
HUNTINGTON BEACH HIGH SCHOOL51220,HUNTINGTON BEACH HIGH SCHOOL,Huntington Beach,Orange,139,41,8
IMPERIAL HIGH SCHOOL51240,IMPERIAL HIGH SCHOOL,Imperial,Imperial,27,18,7
INGLEWOOD HIGH SCHOOL51260,INGLEWOOD HIGH SCHOOL,Inglewood,Los Angeles,17,5,5
INTERNATIONAL POLYTECHNIC HS52508,INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,32,8,5
INTERNATIONAL SCHOOL BANGALORE671055,INTERNATIONAL SCHOOL BANGALORE,,,70,47,5
IRVINE HIGH SCHOOL51271,IRVINE HIGH SCHOOL,Irvine,Orange,177,65,17
IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,Fremont,Alameda,295,115,29
ISLAND SCHOOL670122,ISLAND SCHOOL,,,9,5,3
JAMES A GARFIELD HIGH SCHOOL51635,JAMES A GARFIELD HIGH SCHOOL,Los Angeles,Los Angeles,106,33,5
JAMES LICK HIGH SCHOOL53090,JAMES LICK HIGH SCHOOL,San Jose,Santa Clara,26,10,5
JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,138,50,7
JAMES MADISON HIGH SCHOOL52853,JAMES MADISON HIGH SCHOOL,San Diego,San Diego,27,11,6
